	anxiety_level	self_esteem	mental_health_history	depression	headache	blood_pressure	sleep_quality	breathing_problem	noise_level	living_conditions	safety	basic_needs	academic_performance	study_load	teacher_student_relationship	future_career_concerns	social_support	peer_pressure	extracurricular_activities	bullying	stress_level
anxiety_level	1.00	-0.67	0.63	0.69	0.63	0.33	-0.71	0.56	0.61	-0.57	-0.65	-0.64	-0.65	0.59	-0.66	0.72	-0.57	0.64	0.64	0.71	0.74
self_esteem	-0.67	1.00	-0.60	-0.70	-0.63	-0.51	0.66	-0.51	-0.57	0.55	0.64	0.63	0.64	-0.58	0.65	-0.71	0.68	-0.61	-0.64	-0.64	-0.76
mental_health_history	0.63	-0.60	1.00	0.62	0.60	0.30	-0.61	0.46	0.52	-0.51	-0.55	-0.60	-0.59	0.53	-0.59	0.63	-0.48	0.58	0.55	0.62	0.65
depression	0.69	-0.70	0.62	1.00	0.66	0.44	-0.69	0.52	0.57	-0.53	-0.63	-0.61	-0.63	0.60	-0.67	0.71	-0.62	0.64	0.65	0.67	0.73
headache	0.63	-0.63	0.60	0.66	1.00	0.36	-0.64	0.46	0.54	-0.53	-0.59	-0.62	-0.62	0.54	-0.63	0.68	-0.57	0.62	0.58	0.61	0.71
blood_pressure	0.33	-0.51	0.30	0.44	0.36	1.00	-0.30	0.16	0.35	-0.27	-0.29	-0.28	-0.26	0.35	-0.35	0.43	-0.75	0.40	0.43	0.37	0.39
sleep_quality	-0.71	0.66	-0.61	-0.69	-0.64	-0.30	1.00	-0.54	-0.58	0.54	0.66	0.62	0.67	-0.55	0.68	-0.68	0.55	-0.65	-0.62	-0.70	-0.75
breathing_problem	0.56	-0.51	0.46	0.52	0.46	0.16	-0.54	1.00	0.46	-0.45	-0.52	-0.51	-0.51	0.43	-0.50	0.55	-0.37	0.49	0.52	0.58	0.57
noise_level	0.61	-0.57	0.52	0.57	0.54	0.35	-0.58	0.46	1.00	-0.45	-0.54	-0.57	-0.51	0.49	-0.54	0.58	-0.49	0.58	0.56	0.59	0.66
living_conditions	-0.57	0.55	-0.51	-0.53	-0.53	-0.27	0.54	-0.45	-0.45	1.00	0.56	0.50	0.51	-0.44	0.55	-0.57	0.47	-0.50	-0.52	-0.55	-0.58
safety	-0.65	0.64	-0.55	-0.63	-0.59	-0.29	0.66	-0.52	-0.54	0.56	1.00	0.62	0.64	-0.49	0.66	-0.66	0.61	-0.56	-0.58	-0.65	-0.71
basic_needs	-0.64	0.63	-0.60	-0.61	-0.62	-0.28	0.62	-0.51	-0.57	0.50	0.62	1.00	0.64	-0.51	0.65	-0.64	0.58	-0.59	-0.51	-0.64	-0.71
academic_performance	-0.65	0.64	-0.59	-0.63	-0.62	-0.26	0.67	-0.51	-0.51	0.51	0.64	0.64	1.00	-0.52	0.67	-0.64	0.57	-0.56	-0.59	-0.67	-0.72
study_load	0.59	-0.58	0.53	0.60	0.54	0.35	-0.55	0.43	0.49	-0.44	-0.49	-0.51	-0.52	1.00	-0.51	0.58	-0.47	0.54	0.54	0.59	0.63
teacher_student_relationship	-0.66	0.65	-0.59	-0.67	-0.63	-0.35	0.68	-0.50	-0.54	0.55	0.66	0.65	0.67	-0.51	1.00	-0.67	0.68	-0.59	-0.58	-0.66	-0.68
future_career_concerns	0.72	-0.71	0.63	0.71	0.68	0.43	-0.68	0.55	0.58	-0.57	-0.66	-0.64	-0.64	0.58	-0.67	1.00	-0.60	0.67	0.67	0.71	0.74
social_support	-0.57	0.68	-0.48	-0.62	-0.57	-0.75	0.55	-0.37	-0.49	0.47	0.61	0.58	0.57	-0.47	0.68	-0.60	1.00	-0.49	-0.53	-0.57	-0.63
peer_pressure	0.64	-0.61	0.58	0.64	0.62	0.40	-0.65	0.49	0.58	-0.50	-0.56	-0.59	-0.56	0.54	-0.59	0.67	-0.49	1.00	0.62	0.66	0.69
extracurricular_activities	0.64	-0.64	0.55	0.65	0.58	0.43	-0.62	0.52	0.56	-0.52	-0.58	-0.51	-0.59	0.54	-0.58	0.67	-0.53	0.62	1.00	0.65	0.69
bullying	0.71	-0.64	0.62	0.67	0.61	0.37	-0.70	0.58	0.59	-0.55	-0.65	-0.64	-0.67	0.59	-0.66	0.71	-0.57	0.66	0.65	1.00	0.75
stress_level	0.74	-0.76	0.65	0.73	0.71	0.39	-0.75	0.57	0.66	-0.58	-0.71	-0.71	-0.72	0.63	-0.68	0.74	-0.63	0.69	0.69	0.75	1.00
